	peptide count	description
P22897-1	18	Isoform 1 of Macrophage mannose receptor 1 OS=Homo sapiens GN=MRC1
O75970-1	20	Isoform 1 of Multiple PDZ domain protein OS=Homo sapiens GN=MPDZ
Q96RI1-1	10	Isoform 3 of Bile acid receptor OS=Homo sapiens GN=NR1H4
P32004-1	14	Isoform 1 of Neural cell adhesion molecule L1 OS=Homo sapiens GN=L1CAM
Q9BY67-2	7	Isoform 2 of Cell adhesion molecule 1 OS=Homo sapiens GN=CADM1
O60343-5	14	Isoform 5 of TBC1 domain family member 4 OS=Homo sapiens GN=TBC1D4
Q6UWY5	4	Olfactomedin-like protein 1 OS=Homo sapiens GN=OLFML1
Q5Y7A7	3	HLA class II histocompatibility antigen, DRB1-13 beta chain OS=Homo sapiens GN=HLA-DRB1
P51114-1	13	Isoform 1 of Fragile X mental retardation syndrome-related protein 1 OS=Homo sapiens GN=FXR1
P62328	4	Thymosin beta-4 OS=Homo sapiens GN=TMSB4X
P01008	22	Antithrombin-III OS=Homo sapiens GN=SERPINC1
Q5SYE7-2	20	Isoform 2 of NHS-like protein 1 OS=Homo sapiens GN=NHSL1
Q8NG81	1	Olfactory receptor 2M7 OS=Homo sapiens GN=OR2M7
Q96DN2-1	4	Isoform 1 of von Willebrand factor C and EGF domain-containing protein OS=Homo sapiens GN=VWCE
Q9HCM7	2	Fibrosin-1-like protein OS=Homo sapiens GN=FBRSL1
P53634-3	3	Isoform 3 of Dipeptidyl peptidase 1 OS=Homo sapiens GN=CTSC
Q9BUP0	5	EF-hand domain-containing protein D1 OS=Homo sapiens GN=EFHD1
O15173	4	Membrane-associated progesterone receptor component 2 OS=Homo sapiens GN=PGRMC2
P12273	5	Prolactin-inducible protein OS=Homo sapiens GN=PIP
Q15436	7	Protein transport protein Sec23A OS=Homo sapiens GN=SEC23A
A6NIH7	6	Protein unc-119 homolog B OS=Homo sapiens GN=UNC119B
P30475	5	HLA class I histocompatibility antigen, B-39 alpha chain OS=Homo sapiens GN=HLA-B
O14503	4	Class E basic helix-loop-helix protein 40 OS=Homo sapiens GN=BHLHE40
Q9UGM5	4	Fetuin-B OS=Homo sapiens GN=FETUB
P13611-1	19	Isoform V0 of Versican core protein OS=Homo sapiens GN=VCAN
P08240	3	Signal recognition particle receptor subunit alpha OS=Homo sapiens GN=SRPR
Q495W5-2	5	Isoform 2 of Alpha-(1,3)-fucosyltransferase 11 OS=Homo sapiens GN=FUT11
B2RTY4-5	50	Isoform 5 of Unconventional myosin-IXa OS=Homo sapiens GN=MYO9A
O43247-2	11	Isoform 2 of Testis-expressed sequence 33 protein OS=Homo sapiens GN=TEX33
P09758	4	Tumor-associated calcium signal transducer 2 OS=Homo sapiens GN=TACSTD2
Q9UJ71	5	C-type lectin domain family 4 member K OS=Homo sapiens GN=CD207
Q9UQV4	3	Lysosome-associated membrane glycoprotein 3 OS=Homo sapiens GN=LAMP3
Q8IWZ6-1	12	Isoform 1 of Bardet-Biedl syndrome 7 protein OS=Homo sapiens GN=BBS7
Q96N77-1	3	Isoform 1 of Zinc finger protein 641 OS=Homo sapiens GN=ZNF641
Q9NR99	44	Matrix-remodeling-associated protein 5 OS=Homo sapiens GN=MXRA5
Q02224-2	82	Isoform 2 of Centromere-associated protein E OS=Homo sapiens GN=CENPE
P29353-2	7	Isoform p52Shc of SHC-transforming protein 1 OS=Homo sapiens GN=SHC1
Q6W4X9	6	Mucin-6 OS=Homo sapiens GN=MUC6
Q9BV35-2	3	Isoform 2 of Calcium-binding mitochondrial carrier protein SCaMC-3 OS=Homo sapiens GN=SLC25A23
P30486	7	HLA class I histocompatibility antigen, B-48 alpha chain OS=Homo sapiens GN=HLA-B
P08581-1	28	Isoform 1 of Hepatocyte growth factor receptor OS=Homo sapiens GN=MET
P06280	4	Alpha-galactosidase A OS=Homo sapiens GN=GLA
Q58FF6	10	Putative heat shock protein HSP 90-beta 4 OS=Homo sapiens GN=HSP90AB4P
Q9BZF1-2	7	Isoform 2 of Oxysterol-binding protein-related protein 8 OS=Homo sapiens GN=OSBPL8
Q96J94-1	14	Isoform 1 of Piwi-like protein 1 OS=Homo sapiens GN=PIWIL1
Q96J94-3	15	Isoform 3 of Piwi-like protein 1 OS=Homo sapiens GN=PIWIL1
O75830	4	Serpin I2 OS=Homo sapiens GN=SERPINI2
P20930	33	Filaggrin OS=Homo sapiens GN=FLG
Q9TQE0	3	HLA class II histocompatibility antigen, DRB1-9 beta chain OS=Homo sapiens GN=HLA-DRB1
P30487	5	HLA class I histocompatibility antigen, B-49 alpha chain OS=Homo sapiens GN=HLA-B
Q14764	4	Major vault protein OS=Homo sapiens GN=MVP
Q9BWX1	4	PHD finger protein 7 OS=Homo sapiens GN=PHF7
Q8N9V7	28	Testis- and ovary-specific PAZ domain-containing protein 1 OS=Homo sapiens GN=TOPAZ1
Q03001-8	82	Isoform 2 of Dystonin OS=Homo sapiens GN=DST
Q8IV08	3	Phospholipase D3 OS=Homo sapiens GN=PLD3
P24046-1	8	Isoform 1 of Gamma-aminobutyric acid receptor subunit rho-1 OS=Homo sapiens GN=GABRR1
P23142-4	6	Isoform C of Fibulin-1 OS=Homo sapiens GN=FBLN1
P00367	14	Glutamate dehydrogenase 1, mitochondrial OS=Homo sapiens GN=GLUD1
Q04900-2	2	Isoform 2 of Sialomucin core protein 24 OS=Homo sapiens GN=CD164
Q9HBH5	2	Retinol dehydrogenase 14 OS=Homo sapiens GN=RDH14
Q8N3I7-1	3	Isoform 1 of Bardet-Biedl syndrome 5 protein OS=Homo sapiens GN=BBS5
Q9HDC9-1	4	Isoform 1 of Adipocyte plasma membrane-associated protein OS=Homo sapiens GN=APMAP
Q9H7Z3	15	UPF0614 protein C14orf102 OS=Homo sapiens GN=C14orf102
Q460N5-6	24	Isoform 6 of Poly [ADP-ribose] polymerase 14 OS=Homo sapiens GN=PARP14
Q30154	2	HLA class II histocompatibility antigen, DR beta 5 chain OS=Homo sapiens GN=HLA-DRB5
E7EW31	10	Proline-rich basic protein 1 OS=Homo sapiens GN=PROB1
P35555	30	Fibrillin-1 OS=Homo sapiens GN=FBN1
O43157-1	5	Isoform 1 of Plexin-B1 OS=Homo sapiens GN=PLXNB1
P21757-1	7	Isoform I of Macrophage scavenger receptor types I and II OS=Homo sapiens GN=MSR1
P23284	8	Peptidyl-prolyl cis-trans isomerase B OS=Homo sapiens GN=PPIB
Q8N6Q3-1	2	Isoform 1 of CD177 antigen OS=Homo sapiens GN=CD177
Q02641-2	2	Isoform 2 of Voltage-dependent L-type calcium channel subunit beta-1 OS=Homo sapiens GN=CACNB1
P19256-1	7	Isoform 1 of Lymphocyte function-associated antigen 3 OS=Homo sapiens GN=CD58
P28335	8	5-hydroxytryptamine receptor 2C OS=Homo sapiens GN=HTR2C
Q9BTY2	3	Plasma alpha-L-fucosidase OS=Homo sapiens GN=FUCA2
P13647	14	Keratin, type II cytoskeletal 5 OS=Homo sapiens GN=KRT5
P28907-1	6	Isoform 1 of ADP-ribosyl cyclase 1 OS=Homo sapiens GN=CD38
P69892	1	Hemoglobin subunit gamma-2 OS=Homo sapiens GN=HBG2
P50897-1	5	Isoform 1 of Palmitoyl-protein thioesterase 1 OS=Homo sapiens GN=PPT1
Q6P4E1-3	7	Isoform 3 of Protein CASC4 OS=Homo sapiens GN=CASC4
B2RTY4-2	56	Isoform 2 of Unconventional myosin-IXa OS=Homo sapiens GN=MYO9A
P24821-1	19	Isoform 1 of Tenascin OS=Homo sapiens GN=TNC
Q02487-1	10	Isoform 2A of Desmocollin-2 OS=Homo sapiens GN=DSC2
P49961-1	5	Isoform 1 of Ectonucleoside triphosphate diphosphohydrolase 1 OS=Homo sapiens GN=ENTPD1
Q99729-3	6	Isoform 3 of Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens GN=HNRNPAB
Q9NR97	19	Toll-like receptor 8 OS=Homo sapiens GN=TLR8
Q29718	4	HLA class I histocompatibility antigen, B-82 alpha chain OS=Homo sapiens GN=HLA-B
Q9H6Q4-1	2	Isoform 1 of Cytosolic Fe-S cluster assembly factor NARFL OS=Homo sapiens GN=NARFL
P36980-1	5	Isoform Long of Complement factor H-related protein 2 OS=Homo sapiens GN=CFHR2
P03999	2	Short-wave-sensitive opsin 1 OS=Homo sapiens GN=OPN1SW
Q9UJ14-1	4	Isoform 1 of Gamma-glutamyltransferase 7 OS=Homo sapiens GN=GGT7
P34931	13	Heat shock 70 kDa protein 1-like OS=Homo sapiens GN=HSPA1L
Q9Y2Z9-3	1	Isoform 3 of Ubiquinone biosynthesis monooxygenase COQ6 OS=Homo sapiens GN=COQ6
Q8TCG5-1	1	Isoform 1 of Carnitine O-palmitoyltransferase 1, brain isoform OS=Homo sapiens GN=CPT1C
P12107-2	11	Isoform B of Collagen alpha-1(XI) chain OS=Homo sapiens GN=COL11A1
Q8NBS9	4	Thioredoxin domain-containing protein 5 OS=Homo sapiens GN=TXNDC5
Q96JI7-1	21	Isoform 1 of Spatacsin OS=Homo sapiens GN=SPG11
O60343-4	13	Isoform 4 of TBC1 domain family member 4 OS=Homo sapiens GN=TBC1D4
O60239-1	12	Isoform 1 of SH3 domain-binding protein 5 OS=Homo sapiens GN=SH3BP5
O60637-2	4	Isoform 2 of Tetraspanin-3 OS=Homo sapiens GN=TSPAN3
O60293-2	33	Isoform 2 of Zinc finger C3H1 domain-containing protein OS=Homo sapiens GN=ZFC3H1
Q9BXT4-4	10	Isoform 4 of Tudor domain-containing protein 1 OS=Homo sapiens GN=TDRD1
P39880-3	31	Isoform 3 of Homeobox protein cut-like 1 OS=Homo sapiens GN=CUX1
Q5M775-1	20	Isoform 1 of Cytospin-B OS=Homo sapiens GN=SPECC1
P17483	5	Homeobox protein Hox-B4 OS=Homo sapiens GN=HOXB4
Q92673	17	Sortilin-related receptor OS=Homo sapiens GN=SORL1
P04222	3	HLA class I histocompatibility antigen, Cw-3 alpha chain OS=Homo sapiens GN=HLA-C
P30511-3	5	Isoform 3 of HLA class I histocompatibility antigen, alpha chain F OS=Homo sapiens GN=HLA-F
Q9Y4L1	17	Hypoxia up-regulated protein 1 OS=Homo sapiens GN=HYOU1
O60637-1	5	Isoform 1 of Tetraspanin-3 OS=Homo sapiens GN=TSPAN3
O00451-1	13	Isoform 1 of GDNF family receptor alpha-2 OS=Homo sapiens GN=GFRA2
Q8WWL7-1	7	Isoform 1 of G2/mitotic-specific cyclin-B3 OS=Homo sapiens GN=CCNB3
Q6UXU4-4	2	Isoform 3 of Germ cell-specific gene 1-like protein OS=Homo sapiens GN=GSG1L
P18084	8	Integrin beta-5 OS=Homo sapiens GN=ITGB5
Q52LR7	12	Enhancer of polycomb homolog 2 OS=Homo sapiens GN=EPC2
Q6UY14-1	4	Isoform 1 of ADAMTS-like protein 4 OS=Homo sapiens GN=ADAMTSL4
Q14847-1	10	Isoform 1 of LIM and SH3 domain protein 1 OS=Homo sapiens GN=LASP1
P30622-2	36	Isoform 3 of CAP-Gly domain-containing linker protein 1 OS=Homo sapiens GN=CLIP1
O60239-2	12	Isoform 2 of SH3 domain-binding protein 5 OS=Homo sapiens GN=SH3BP5
Q8IW00-1	1	Isoform 1 of V-set and transmembrane domain-containing protein 4 OS=Homo sapiens GN=VSTM4
P02100	1	Hemoglobin subunit epsilon OS=Homo sapiens GN=HBE1
Q9H7E9-2	4	Isoform 2 of UPF0488 protein C8orf33 OS=Homo sapiens GN=C8orf33
Q8N697-1	3	Isoform 1 of Solute carrier family 15 member 4 OS=Homo sapiens GN=SLC15A4
Q8IZJ1-1	12	Isoform 1 of Netrin receptor UNC5B OS=Homo sapiens GN=UNC5B
P05546	15	Heparin cofactor 2 OS=Homo sapiens GN=SERPIND1
O75031	5	Heat shock factor 2-binding protein OS=Homo sapiens GN=HSF2BP
Q68DK2-1	14	Isoform 1 of Zinc finger FYVE domain-containing protein 26 OS=Homo sapiens GN=ZFYVE26
P15822-1	39	Isoform 1 of Zinc finger protein 40 OS=Homo sapiens GN=HIVEP1
Q9NQ76-2	28	Isoform 2 of Matrix extracellular phosphoglycoprotein OS=Homo sapiens GN=MEPE
Q9NRC6	19	Spectrin beta chain, non-erythrocytic 5 OS=Homo sapiens GN=SPTBN5
P0C024	2	Peroxisomal coenzyme A diphosphatase NUDT7 OS=Homo sapiens GN=NUDT7
Q96EE4	4	Coiled-coil domain-containing protein 126 OS=Homo sapiens GN=CCDC126
P20061	7	Transcobalamin-1 OS=Homo sapiens GN=TCN1
P49788-1	5	Isoform 2 of Retinoic acid receptor responder protein 1 OS=Homo sapiens GN=RARRES1
P20774	9	Mimecan OS=Homo sapiens GN=OGN
P06310	2	Ig kappa chain V-II region RPMI 6410 OS=Homo sapiens
P29218-1	7	Isoform 1 of Inositol monophosphatase 1 OS=Homo sapiens GN=IMPA1
P01616	1	Ig kappa chain V-II region MIL OS=Homo sapiens
O60609-1	7	Isoform 1 of GDNF family receptor alpha-3 OS=Homo sapiens GN=GFRA3
Q9Y251-2	7	Isoform 2 of Heparanase OS=Homo sapiens GN=HPSE
Q29974	3	HLA class II histocompatibility antigen, DRB1-16 beta chain OS=Homo sapiens GN=HLA-DRB1
P51884	9	Lumican OS=Homo sapiens GN=LUM
Q7Z3I7	7	Zinc finger protein 572 OS=Homo sapiens GN=ZNF572
Q14573	45	Inositol 1,4,5-trisphosphate receptor type 3 OS=Homo sapiens GN=ITPR3
P28068	4	HLA class II histocompatibility antigen, DM beta chain OS=Homo sapiens GN=HLA-DMB
P11215	21	Integrin alpha-M OS=Homo sapiens GN=ITGAM
O00411	6	DNA-directed RNA polymerase, mitochondrial OS=Homo sapiens GN=POLRMT
Q15165-3	4	Isoform 3 of Serum paraoxonase/arylesterase 2 OS=Homo sapiens GN=PON2
P67936-2	5	Isoform 2 of Tropomyosin alpha-4 chain OS=Homo sapiens GN=TPM4
P21860-1	11	Isoform 1 of Receptor tyrosine-protein kinase erbB-3 OS=Homo sapiens GN=ERBB3
Q8IWA5-3	15	Isoform 3 of Choline transporter-like protein 2 OS=Homo sapiens GN=SLC44A2
Q4AC94-5	16	Isoform 5 of C2 domain-containing protein 3 OS=Homo sapiens GN=C2CD3
P29353-5	3	Isoform 5 of SHC-transforming protein 1 OS=Homo sapiens GN=SHC1
P30101	9	Protein disulfide-isomerase A3 OS=Homo sapiens GN=PDIA3
Q13469-1	11	Isoform 1 of Nuclear factor of activated T-cells, cytoplasmic 2 OS=Homo sapiens GN=NFATC2
P21810	6	Biglycan OS=Homo sapiens GN=BGN
Q6UY13	3	Putative uncharacterized protein UNQ5830/PRO19650/PRO19816 OS=Homo sapiens GN=UNQ5830/PRO19650/PRO19816
P00505	5	Aspartate aminotransferase, mitochondrial OS=Homo sapiens GN=GOT2
P16112-1	4	Isoform 1 of Aggrecan core protein OS=Homo sapiens GN=ACAN
P02749	9	Beta-2-glycoprotein 1 OS=Homo sapiens GN=APOH
Q8N4F0	3	BPI fold-containing family B member 2 OS=Homo sapiens GN=BPIFB2
P07357	6	Complement component C8 alpha chain OS=Homo sapiens GN=C8A
P08123	15	Collagen alpha-2(I) chain OS=Homo sapiens GN=COL1A2
P60174-1	8	Isoform 2 of Triosephosphate isomerase OS=Homo sapiens GN=TPI1
O43295-1	17	Isoform 1 of SLIT-ROBO Rho GTPase-activating protein 3 OS=Homo sapiens GN=SRGAP3
Q7L576-1	14	Isoform 1 of Cytoplasmic FMR1-interacting protein 1 OS=Homo sapiens GN=CYFIP1
P02751-5	15	Isoform 5 of Fibronectin OS=Homo sapiens GN=FN1
P05787	14	Keratin, type II cytoskeletal 8 OS=Homo sapiens GN=KRT8
Q05707-2	15	Isoform 2 of Collagen alpha-1(XIV) chain OS=Homo sapiens GN=COL14A1
Q95365	6	HLA class I histocompatibility antigen, B-38 alpha chain OS=Homo sapiens GN=HLA-B
P08758	4	Annexin A5 OS=Homo sapiens GN=ANXA5
Q96D15	3	Reticulocalbin-3 OS=Homo sapiens GN=RCN3
Q6UWF7-1	8	Isoform 1 of NXPE family member 4 OS=Homo sapiens GN=NXPE4
Q8TDR0-1	20	Isoform 1 of TRAF3-interacting protein 1 OS=Homo sapiens GN=TRAF3IP1
Q8N6M6-1	2	Isoform 1 of Aminopeptidase O OS=Homo sapiens GN=AOPEP
P13611-2	19	Isoform V1 of Versican core protein OS=Homo sapiens GN=VCAN
P10599	3	Thioredoxin OS=Homo sapiens GN=TXN
P02787	13	Serotransferrin OS=Homo sapiens GN=TF
Q9H4G0-1	13	Isoform 1 of Band 4.1-like protein 1 OS=Homo sapiens GN=EPB41L1
P35442	8	Thrombospondin-2 OS=Homo sapiens GN=THBS2
P26447	2	Protein S100-A4 OS=Homo sapiens GN=S100A4
Q9BVV6-1	15	Isoform 1 of Protein TALPID3 OS=Homo sapiens GN=KIAA0586
Q96RY5	15	Protein cramped-like OS=Homo sapiens GN=CRAMP1L
Q6UWN0-1	2	Isoform 1 of Ly6/PLAUR domain-containing protein 4 OS=Homo sapiens GN=LYPD4
Q9Y608-1	11	Isoform 1 of Leucine-rich repeat flightless-interacting protein 2 OS=Homo sapiens GN=LRRFIP2
P67936-1	9	Isoform 1 of Tropomyosin alpha-4 chain OS=Homo sapiens GN=TPM4
Q6Y1H2	4	Very-long-chain (3R)-3-hydroxyacyl-[acyl-carrier protein] dehydratase 2 OS=Homo sapiens GN=PTPLB
P79483	3	HLA class II histocompatibility antigen, DR beta 3 chain OS=Homo sapiens GN=HLA-DRB3
Q14108	7	Lysosome membrane protein 2 OS=Homo sapiens GN=SCARB2
Q9BXT4-3	19	Isoform 3 of Tudor domain-containing protein 1 OS=Homo sapiens GN=TDRD1
Q8N1A0-1	6	Isoform 1 of Keratin-like protein KRT222 OS=Homo sapiens GN=KRT222
Q9UJ98-1	3	Isoform 1 of Cohesin subunit SA-3 OS=Homo sapiens GN=STAG3
Q06481-1	13	Isoform 1 of Amyloid-like protein 2 OS=Homo sapiens GN=APLP2
Q58DX5-1	10	Isoform 1 of Inactive N-acetylated-alpha-linked acidic dipeptidase-like protein 2 OS=Homo sapiens GN=NAALADL2
P10316	2	HLA class I histocompatibility antigen, A-69 alpha chain OS=Homo sapiens GN=HLA-A
O15111	12	Inhibitor of nuclear factor kappa-B kinase subunit alpha OS=Homo sapiens GN=CHUK
P08174-2	2	Isoform 1 of Complement decay-accelerating factor OS=Homo sapiens GN=CD55
Q5JW98-1	2	Isoform 1 of Protein FAM26D OS=Homo sapiens GN=FAM26D
Q9Y337	2	Kallikrein-5 OS=Homo sapiens GN=KLK5
P23560-5	8	Isoform 5 of Brain-derived neurotrophic factor OS=Homo sapiens GN=BDNF
Q9NQB0-7	10	Isoform 7 of Transcription factor 7-like 2 OS=Homo sapiens GN=TCF7L2
O60449-2	24	Isoform 2 of Lymphocyte antigen 75 OS=Homo sapiens GN=LY75
P21589-2	11	Isoform 2 of 5'-nucleotidase OS=Homo sapiens GN=NT5E
P01920	2	HLA class II histocompatibility antigen, DQ beta 1 chain OS=Homo sapiens GN=HLA-DQB1
Q13615-1	9	Isoform B of Myotubularin-related protein 3 OS=Homo sapiens GN=MTMR3
Q14865-3	8	Isoform 3 of AT-rich interactive domain-containing protein 5B OS=Homo sapiens GN=ARID5B
O94763-1	10	Isoform 1 of Unconventional prefoldin RPB5 interactor 1 OS=Homo sapiens GN=URI1
Q6IPM2-4	5	Isoform 4 of IQ domain-containing protein E OS=Homo sapiens GN=IQCE
Q13191-1	14	Isoform Long of E3 ubiquitin-protein ligase CBL-B OS=Homo sapiens GN=CBLB
O75339	12	Cartilage intermediate layer protein 1 OS=Homo sapiens GN=CILP
P01011-1	6	Isoform 1 of Alpha-1-antichymotrypsin OS=Homo sapiens GN=SERPINA3
Q9UMX0-1	6	Isoform 1 of Ubiquilin-1 OS=Homo sapiens GN=UBQLN1
P41219-1	11	Isoform 1 of Peripherin OS=Homo sapiens GN=PRPH
Q13191-3	11	Isoform Truncated 2 of E3 ubiquitin-protein ligase CBL-B OS=Homo sapiens GN=CBLB
P27482	3	Calmodulin-like protein 3 OS=Homo sapiens GN=CALML3
O00408-4	10	Isoform PDE2A4 of cGMP-dependent 3',5'-cyclic phosphodiesterase OS=Homo sapiens GN=PDE2A
O43852-3	5	Isoform 3 of Calumenin OS=Homo sapiens GN=CALU
Q15063-3	8	Isoform 3 of Periostin OS=Homo sapiens GN=POSTN
Q8IVL1-10	47	Isoform 10 of Neuron navigator 2 OS=Homo sapiens GN=NAV2
Q14103-3	6	Isoform 3 of Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens GN=HNRNPD
Q14CM0	15	FERM and PDZ domain-containing protein 4 OS=Homo sapiens GN=FRMPD4
Q17RW2-1	16	Isoform 1 of Collagen alpha-1(XXIV) chain OS=Homo sapiens GN=COL24A1
P05164-1	16	Isoform H17 of Myeloperoxidase OS=Homo sapiens GN=MPO
Q8IVL1-3	44	Isoform 3 of Neuron navigator 2 OS=Homo sapiens GN=NAV2
Q96K78	12	Probable G-protein coupled receptor 128 OS=Homo sapiens GN=GPR128
P31997	6	Carcinoembryonic antigen-related cell adhesion molecule 8 OS=Homo sapiens GN=CEACAM8
O75503	2	Ceroid-lipofuscinosis neuronal protein 5 OS=Homo sapiens GN=CLN5
Q9Y5G4-1	13	Isoform 1 of Protocadherin gamma-A9 OS=Homo sapiens GN=PCDHGA9
P30480	4	HLA class I histocompatibility antigen, B-42 alpha chain OS=Homo sapiens GN=HLA-B
Q5VW36	8	Focadhesin OS=Homo sapiens GN=FOCAD
O00584-1	3	Isoform 1 of Ribonuclease T2 OS=Homo sapiens GN=RNASET2
Q8WV92	6	MIT domain-containing protein 1 OS=Homo sapiens GN=MITD1
Q587J8	1	KHDC3-like protein OS=Homo sapiens GN=KHDC3L
Q96NT5-1	2	Isoform 1 of Proton-coupled folate transporter OS=Homo sapiens GN=SLC46A1
P13645	11	Keratin, type I cytoskeletal 10 OS=Homo sapiens GN=KRT10
Q96HP0	18	Dedicator of cytokinesis protein 6 OS=Homo sapiens GN=DOCK6
P28799-1	7	Isoform 1 of Granulins OS=Homo sapiens GN=GRN
Q8N2S1-1	3	Isoform 1 of Latent-transforming growth factor beta-binding protein 4 OS=Homo sapiens GN=LTBP4
Q10589	7	Bone marrow stromal antigen 2 OS=Homo sapiens GN=BST2
Q86UK0-1	24	Isoform 1 of ATP-binding cassette sub-family A member 12 OS=Homo sapiens GN=ABCA12
D6RGH6	1	Multicilin OS=Homo sapiens GN=MCIN
Q99575	18	Ribonucleases P/MRP protein subunit POP1 OS=Homo sapiens GN=POP1
Q9UKU7	8	Isobutyryl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=ACAD8
Q8NFQ8	6	Torsin-1A-interacting protein 2 OS=Homo sapiens GN=TOR1AIP2
P61371	7	Insulin gene enhancer protein ISL-1 OS=Homo sapiens GN=ISL1
P00734	13	Prothrombin OS=Homo sapiens GN=F2
P15328	7	Folate receptor alpha OS=Homo sapiens GN=FOLR1
Q12797-3	7	Isoform 3 of Aspartyl/asparaginyl beta-hydroxylase OS=Homo sapiens GN=ASPH
Q5ZPR3-1	4	Isoform 1 of CD276 antigen OS=Homo sapiens GN=CD276
Q96HE7	7	ERO1-like protein alpha OS=Homo sapiens GN=ERO1L
P01042-1	9	Isoform HMW of Kininogen-1 OS=Homo sapiens GN=KNG1
P62805	2	Histone H4 OS=Homo sapiens GN=HIST1H4A
P05155	9	Plasma protease C1 inhibitor OS=Homo sapiens GN=SERPING1
O43426-1	18	Isoform 1 of Synaptojanin-1 OS=Homo sapiens GN=SYNJ1
P18462	3	HLA class I histocompatibility antigen, A-25 alpha chain OS=Homo sapiens GN=HLA-A
Q16584	4	Mitogen-activated protein kinase kinase kinase 11 OS=Homo sapiens GN=MAP3K11
P02768-1	18	Isoform 1 of Serum albumin OS=Homo sapiens GN=ALB
Q6UX06	1	Olfactomedin-4 OS=Homo sapiens GN=OLFM4
O95857	3	Tetraspanin-13 OS=Homo sapiens GN=TSPAN13
O43657	5	Tetraspanin-6 OS=Homo sapiens GN=TSPAN6
P27816-4	14	Isoform 4 of Microtubule-associated protein 4 OS=Homo sapiens GN=MAP4
O60330-1	10	Isoform 1 of Protocadherin gamma-A12 OS=Homo sapiens GN=PCDHGA12
Q16401	2	26S proteasome non-ATPase regulatory subunit 5 OS=Homo sapiens GN=PSMD5
Q8N5I9	5	Uncharacterized protein C12orf45 OS=Homo sapiens GN=C12orf45
P03952	7	Plasma kallikrein OS=Homo sapiens GN=KLKB1
Q6NXR0	4	Interferon-inducible GTPase 5 OS=Homo sapiens GN=IRGC
P43652	19	Afamin OS=Homo sapiens GN=AFM
P12821-1	8	Isoform Somatic-1 of Angiotensin-converting enzyme OS=Homo sapiens GN=ACE
P55268	11	Laminin subunit beta-2 OS=Homo sapiens GN=LAMB2
Q8TCT7-1	1	Isoform 1 of Signal peptide peptidase-like 2B OS=Homo sapiens GN=SPPL2B
Q9UH99	2	SUN domain-containing protein 2 OS=Homo sapiens GN=SUN2
Q9Y3N9	1	Olfactory receptor 2W1 OS=Homo sapiens GN=OR2W1
Q9UHL4	3	Dipeptidyl peptidase 2 OS=Homo sapiens GN=DPP7
Q11206-1	12	Isoform 1 of CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 4 OS=Homo sapiens GN=ST3GAL4
A2RUB6-1	33	Isoform 1 of Coiled-coil domain-containing protein 66 OS=Homo sapiens GN=CCDC66
Q04760-1	2	Isoform 1 of Lactoylglutathione lyase OS=Homo sapiens GN=GLO1
Q9UHB6-1	23	Isoform Beta of LIM domain and actin-binding protein 1 OS=Homo sapiens GN=LIMA1
O75976	19	Carboxypeptidase D OS=Homo sapiens GN=CPD
Q9Y6C2	5	EMILIN-1 OS=Homo sapiens GN=EMILIN1
P13861	9	cAMP-dependent protein kinase type II-alpha regulatory subunit OS=Homo sapiens GN=PRKAR2A
Q9P2K8-1	16	Isoform 1 of Eukaryotic translation initiation factor 2-alpha kinase 4 OS=Homo sapiens GN=EIF2AK4
Q8TCT8	4	Signal peptide peptidase-like 2A OS=Homo sapiens GN=SPPL2A
P25101-1	9	Isoform 1 of Endothelin-1 receptor OS=Homo sapiens GN=EDNRA
P01876	1	Ig alpha-1 chain C region OS=Homo sapiens GN=IGHA1
Q9HCD6-1	16	Isoform 1 of Protein TANC2 OS=Homo sapiens GN=TANC2
Q07866-2	22	Isoform C of Kinesin light chain 1 OS=Homo sapiens GN=KLC1
Q96CS2-1	6	Isoform 1 of HAUS augmin-like complex subunit 1 OS=Homo sapiens GN=HAUS1
P08590	3	Myosin light chain 3 OS=Homo sapiens GN=MYL3
Q8WXI7	53	Mucin-16 OS=Homo sapiens GN=MUC16
Q5TH69	9	Brefeldin A-inhibited guanine nucleotide-exchange protein 3 OS=Homo sapiens GN=ARFGEF3
P06865	4	Beta-hexosaminidase subunit alpha OS=Homo sapiens GN=HEXA
P07237	8	Protein disulfide-isomerase OS=Homo sapiens GN=P4HB
P25942-1	2	Isoform I of Tumor necrosis factor receptor superfamily member 5 OS=Homo sapiens GN=CD40
Q9Y6P5-2	9	Isoform T1 of Sestrin-1 OS=Homo sapiens GN=SESN1
Q86Y25	8	Zinc finger protein 354C OS=Homo sapiens GN=ZNF354C
Q9NPR2-1	8	Isoform 1 of Semaphorin-4B OS=Homo sapiens GN=SEMA4B
P18564	7	Integrin beta-6 OS=Homo sapiens GN=ITGB6
P00748	4	Coagulation factor XII OS=Homo sapiens GN=F12
O95297-1	1	Isoform 1 of Myelin protein zero-like protein 1 OS=Homo sapiens GN=MPZL1
P35613-1	7	Isoform 1 of Basigin OS=Homo sapiens GN=BSG
P17931	7	Galectin-3 OS=Homo sapiens GN=LGALS3
P04275	24	von Willebrand factor OS=Homo sapiens GN=VWF
